Title,Date,Location,Business,Vacancy,Status,Duration,Job ID,Hours per Week,Minimum Salary,Maximum Salary,Duration of Salary,  NOC Number,NOC Title After Comparison,,,NOC Number Master List,NOC Title Master List
product surface preparer and prefinisher,29-May-20,North York,INKAS Safe Manufacturing Ltd. ,1 Vacancy,Permanent,Full time,1474763,40,$18.00,$20.00,hour,9536,"Industrial painters, coaters and metal finishing process operators",,,11,Legislators
general labourer - material handling,29-May-20,Etobicoke,Bramham Bros Limited.,2 Vacancies,Permanent,Full time,1474997,35 to 60,$14.00,$18.00,hour,7452,Material handlers,,,12,Senior government managers and officials
lifeguard,29-May-20,Ottawa,H2O,10 Vacancies,Seasonal,Part time leading to full time,1474978,5 to 40,$15.00,$16.00,hour,5254,"Program leaders and instructors in recreation, sport and fitness",,,13,"Senior managers - financial, communications and other business services"
plastic pipe production worker,29-May-20,Port Elgin,Carson Supply,1 Vacancy,Permanent,Full time,1474574,44,$16.00,$17.00,hour,9422,Plastics processing machine operators,,,14,"Senior managers - health, education, social and community services and membership organizations"
office administrator,29-May-20,Mississauga,D4 Logistics Inc.,1 Vacancy,Permanent,Full time,1474314,32 to 40,$24.00,,hour,1221,Administrative officers,,,15,"Senior managers - trade, broadcasting and other services, n.e.c."
apartment building concierge,29-May-20,Toronto,LK PROTECTION,3 Vacancies,Permanent,Part time,1474746,8 to 24,$14.50,$16.00,hour,6733,"Janitors, caretakers and building superintendents",,,16,"Senior managers - construction, transportation, production and utilities"
office administrator,29-May-20,Mississauga,CK Carriers,1 Vacancy,Permanent,Full time,1474315,32 to 40,$24.00,,hour,1221,Administrative officers,,,111,Financial managers
shift manager - fast food restaurant,29-May-20,Markham,KFC/Taco Bell/Pizza Hut,1 Vacancy,Permanent,Full time,1474729,30 to 40,$15.00,,hour,6311,Food service supervisors,,,112,Human resources managers
office administrator,29-May-20,Georgetown,Oyster Freight Services Inc.,1 Vacancy,Permanent,Full time,1474972,40,$24.00,,hour,1221,Administrative officers,,,113,Purchasing managers
family physician,29-May-20,Nepean,Precision Medical Centre,4 Vacancies,Permanent,Full time,1475172,35 to 45,"$200,000","$350,000",year,3112,General practitioners and family physicians,,,114,Other administrative services managers
truck driver,29-May-20,Cambridge,JD Trans Inc.,3 Vacancies,Permanent,Full time,1474584,50,$24.25,,hour,7511,Transport truck drivers,,,121,"Insurance, real estate and financial brokerage managers"
security guard,29-May-20,Richmond Hill,LK PROTECTION,3 Vacancies,Permanent,Full time,1474747,40,$15.50,$17.00,hour,6541,Security guards and related security service occupations,,,122,"Banking, credit and other investment managers"
shift manager - fast food restaurant,29-May-20,East York,KFC/Taco Bell/Pizza Hut,1 Vacancy,Permanent,Full time,1474934,30 to 40,$15.90,,hour,6311,Food service supervisors,,,124,"Advertising, marketing and public relations managers"
"project officer, marketing",29-May-20,Ottawa,Odyssey Theatre,1 Vacancy,Term or contract (ending:  2020-08-16),Full time,1475165,35,$14.10,,hour,4163,Business development officers and marketing researchers and consultants,,,125,Other business services managers
security guard,29-May-20,Toronto,LK PROTECTION,3 Vacancies,Permanent,Full time,1474749,40,$14.50,$16.00,hour,6541,Security guards and related security service occupations,,,131,Telecommunication carriers managers
security guard,29-May-20,Thornhill,LK PROTECTION,1 Vacancy,Permanent,Full time,1474756,40,$14.50,$16.00,hour,6541,Security guards and related security service occupations,,,132,Postal and courier services managers
apartment building concierge,29-May-20,Toronto,LK PROTECTION,3 Vacancies,Permanent,Full time,1474750,40,$14.50,$16.00,hour,6733,"Janitors, caretakers and building superintendents",,,211,Engineering managers
security guard,29-May-20,Etobicoke,LK PROTECTION,3 Vacancies,Permanent,Full time,1474755,40,$14.50,$16.00,hour,6541,Security guards and related security service occupations,,,212,Architecture and science managers
moving truck driver,29-May-20,Sault Ste. Marie,Adler Moving Systems,2 Vacancies,Permanent,Full time,1475176,30 to 50,$18.50,$20.00,hour,7511,Transport truck drivers,,,213,Computer and information systems managers
