Municipality,General Region,Geographic area ,Geographic Area 2,Compass Location
Addington Highlands,Southeastern Ontario,Lennox,Kenora,Northwestern Ontario
Adelaide-Metcalfe,Southwestern Ontario,Middlesex,Rainy River,Northwestern Ontario
Adjala-Tosorontio,Southwestern Ontario,Simcoe,Thunder Bay,Northwestern Ontario
Admaston/Bromley,Southeastern Ontario,Renfrew,Northumberland County,Northwestern Ontario
Ajax,Greater Toronto Area,Durham,northumberland-peterborough south,Northwestern Ontario
Alberton,Northwestern Ontario,Rainy River,Whitewater ,Southeastern Ontario
Alfred and Plantagenet,Southeastern Ontario,Prescott and Russell,Renfrew,Southeastern Ontario
Algonquin Highlands,Southcentral Ontario,haliburton,Ottawa,Southeastern Ontario
Alnwick/Haldimand,Southeastern Ontario,Northumberland,Clarence-Rockland,Southeastern Ontario
Amaranth,Greater Toronto Area,Dufferin,Prescott and Russell,Southeastern Ontario
Amherstburg,Southwestern Ontario,Essex,North Stormont,Southeastern Ontario
Armour,Southcentral Ontario,Parry Sound,Glengarry,Southeastern Ontario
Armstrong,Central Ontario,Timiskaming,North Glengarry,Southeastern Ontario
Arnprior,Southeastern Ontario,Renfrew,"Stormont, Dundas and Glengarry",Southeastern Ontario
Arran-Elderslie,Southcentral Ontario,Bruce,Stormont,Southeastern Ontario
Ashfield-Colborne-Wawanosh,Southcentral Ontario,Huron,North Grenville,Southeastern Ontario
Asphodel-Norwood,Greater Toronto Area,Peterborough,Leeds and Grenville,Southeastern Ontario
Assiginack,Central Ontario,Manitoulin,South Dundas,Southeastern Ontario
Athens,Southeastern Ontario,Leeds and Grenville,Lanark,Southeastern Ontario
Atikokan,Northwestern Ontario,Rainy River,Perth,Southeastern Ontario
Augusta,Southeastern Ontario,Leeds and Grenville,Leeds,Southeastern Ontario
Aurora,Greater Toronto Area,York,Kingston,Southeastern Ontario
Aylmer,Southwestern Ontario,Elgin,Frontenac,Southeastern Ontario
Baldwin,Central Ontario,Sudbury,Wellington,Southeastern Ontario
Bancroft,Southcentral Ontario,Hastings,Prince Edward County,Southeastern Ontario
Barrie,Southwestern Ontario,Simcoe,Prince Edward,Southeastern Ontario
Bayham,Southwestern Ontario,Elgin,Lennox and Addington,Southeastern Ontario
Beckwith,Southeastern Ontario,Lanark,Lennox,Southeastern Ontario
Belleville,Southcentral Ontario,Hastings,Northumberland,Southeastern Ontario
Billings,Central Ontario,Manitoulin,Algoma,Central Ontario
Black River-Matheson,Central Ontario,Cochrane,Cochrane,Central Ontario
Blandford-Blenheim,Southwestern Ontario,Oxford,Manitoulin,Central Ontario
Blind River,Central Ontario,Algoma,Timmins,Central Ontario
Bluewater,Southcentral Ontario,Huron,Nipissing,Central Ontario
Bonfield,Central Ontario,Nipissing,Sudbury,Central Ontario
Bonnechere Valley,Southeastern Ontario,Renfrew,Timiskaming,Central Ontario
Bracebridge,Southcentral Ontario,Muskoka,Parry Sound,Southcentral Ontario
Bradford West Gwillimbury,Southwestern Ontario,Simcoe,Muskoka,Southcentral Ontario
Brampton,Greater Toronto Area,Peel,Huntsville,Southcentral Ontario
Brant,Southwestern Ontario,Brant,Midland,Southcentral Ontario
Brantford,Southwestern Ontario,Brant,Haliburton,Southcentral Ontario
Brethour,Central Ontario,Timiskaming,Trent - Severn,Southcentral Ontario
Brighton,Southeastern Ontario,Northumberland,Bruce Peninsula,Southcentral Ontario
Brock,Greater Toronto Area,Durham,Arran-Elderslie,Southcentral Ontario
Brockton,Southcentral Ontario,Bruce,Bruce,Southcentral Ontario
Brockville,Southeastern Ontario,Leeds and Grenville,Grey Highlands,Southcentral Ontario
Brooke-Alvinston,Southwestern Ontario,Lambton,Grey,Southcentral Ontario
Bruce,Southcentral Ontario,Bruce,Bruce County,Southcentral Ontario
